City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Lazaro Cardenas,MX,81.36,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
14,Sinnamary,GF,78.82,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
17,Isangel,VU,84.31,scattered clouds,-19.55,169.2667,Tanna Lodge
20,Vaini,TO,77.14,light rain,-21.2,-175.2,Keleti Beach Resort
22,Butaritari,KI,81.37,few clouds,3.0707,172.7902,Isles Sunset Lodge
28,Hilo,US,87.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
36,Axim,GH,76.32,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
42,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
43,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
49,Dogondoutchi,NE,83.55,overcast clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
54,Sao Filipe,CV,77.7,scattered clouds,14.8961,-24.4956,Hotel Xaguate
56,Port-Gentil,GA,77.56,moderate rain,-0.7193,8.7815,Fengshui Residence
57,Tezu,IN,78.04,clear sky,27.9167,96.1667,Circuit House
59,Hasaki,JP,75.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
65,Nuevitas,CU,79.0,clear sky,21.5453,-77.2644,Hotel Caonaba
68,Lorengau,PG,85.32,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
74,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
75,Sur,OM,76.86,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
77,Ranong,TH,75.34,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
87,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
90,Saint Marys,US,76.01,clear sky,30.7305,-81.5465,Spencer House Inn by Brham
91,Cabo San Lucas,MX,81.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
101,Atuona,PF,76.75,clear sky,-9.8,-139.0333,Villa Enata
103,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
104,Coahuayana,MX,78.62,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
107,Marang,MY,85.96,light rain,5.2056,103.2059,DBarakah Homestay
108,Klang,MY,88.65,overcast clouds,3.0333,101.45,OYO 90249 Euro Hotel (klang)
112,Turan,VN,84.18,few clouds,16.0678,108.2208,Grand Mercure Danang
117,Touros,BR,77.18,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
120,Pitimbu,BR,75.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
132,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
140,Bontang,ID,83.82,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
141,Hithadhoo,MV,80.8,overcast clouds,-0.6,73.0833,Scoop Guest House
142,Nishihara,JP,83.86,overcast clouds,26.1842,127.7558,Minshuku Agaihama
146,Victoria,HK,83.03,overcast clouds,22.2855,114.1577,Mini Central
148,Manaure,CO,81.25,broken clouds,11.7751,-72.4445,Hotel Palaaima
151,Bengkulu,ID,80.26,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
154,Port Moresby,PG,85.95,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
155,Chabahar,IR,79.14,clear sky,25.2919,60.643,هتل گدروشیا
156,Waingapu,ID,85.39,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
159,Mayumba,GA,75.43,overcast clouds,-3.432,10.6554,LIKWALE LODGE
165,Pemangkat,ID,83.52,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
166,Dicabisagan,PH,86.45,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
169,Buckeye,US,76.12,clear sky,33.3703,-112.5838,Buckeye Motor Hotel
172,Savannah Bight,HN,83.75,broken clouds,16.45,-85.85,Villa on Dunbar Rock
177,Carutapera,BR,78.93,clear sky,-1.195,-46.02,Lidera
184,Honiara,SB,87.06,broken clouds,-9.4333,159.95,Heritage Park Hotel
190,Alice Springs,AU,89.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
191,Yulara,AU,82.24,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
194,Poso,ID,86.18,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
202,Sampit,ID,82.56,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
212,Hobyo,SO,77.58,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
216,Kavieng,PG,83.91,light rain,-2.5744,150.7967,Nusa Island Retreat
218,Pedernales,DO,80.26,clear sky,18.0384,-71.744,Hotel Costa Marina
220,Seminole,US,76.37,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
224,Vaitape,PF,78.78,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
231,Katsuura,JP,76.01,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
239,Kihei,US,87.82,few clouds,20.785,-156.4656,Maui Sunset
242,Tura,IN,75.54,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
243,Nouakchott,MR,78.73,clear sky,18.0858,-15.9785,HOTEL IMAN
244,Naze,JP,81.52,overcast clouds,28.3667,129.4833,Shishime Hotel
254,Keti Bandar,PK,79.74,clear sky,24.1447,67.4497,Haji laloo memon house
261,Razole,IN,78.28,broken clouds,16.4833,81.8333,Sterling Palavelli Godavari
262,Veraval,IN,77.11,scattered clouds,20.9,70.3667,Lords Inn Somnath
265,Atar,MR,89.89,overcast clouds,20.5169,-13.0499,Oumou Elghoura
266,Karratha,AU,84.65,clear sky,-20.7377,116.8463,ibis Styles Karratha
274,Vanimo,PG,84.34,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
297,Nabire,ID,86.31,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
299,Gushikawa,JP,83.79,broken clouds,26.3544,127.8686,Kirari Guest House
302,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Pousada Camboinha
303,Sertaozinho,BR,77.11,broken clouds,-21.1378,-47.9903,Agapito Inn Hotel
306,Samarai,PG,82.13,broken clouds,-10.6167,150.6667,Nuli Sapi
307,Kodinar,IN,75.52,broken clouds,20.7903,70.7031,residency of N.B vadhel
311,San Policarpo,PH,84.6,overcast clouds,12.1791,125.5072,Agapita M. Nicart
312,Tual,ID,83.53,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
314,Ugoofaaru,MV,80.8,overcast clouds,5.6667,73.0,Ungoofaaru Inn
315,Bandarbeyla,SO,76.28,clear sky,9.4942,50.8122,JABIR HOTEL
318,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
326,Arlit,NE,82.81,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
329,Japura,ID,79.29,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
334,Allapalli,IN,75.0,scattered clouds,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
335,Hambantota,LK,79.12,overcast clouds,6.1241,81.1185,Bungalow 63
336,Faanui,PF,78.69,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
340,Tomatlan,MX,77.85,few clouds,19.9333,-105.25,El Salvial
346,Kawalu,ID,77.5,overcast clouds,-7.3817,108.2082,West Jontor
355,Biak,ID,84.15,broken clouds,-0.9131,122.8766,Penginapan Kim
358,Natal,BR,77.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
364,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
367,Lucea,JM,82.26,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
374,Banjar,ID,86.0,overcast clouds,-8.19,114.9675,The Hamsa Resort
376,Acapulco,MX,82.22,light rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
385,Puerto Escondido,MX,79.63,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
387,Nanakuli,US,84.15,scattered clouds,21.3906,-158.1547,Camp Pālehua
398,Srandakan,ID,81.73,overcast clouds,-7.9386,110.2506,Puri Brata
404,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
408,Bubaque,GW,80.1,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
411,San Patricio,US,82.29,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
412,Nieuw Amsterdam,SR,80.02,overcast clouds,5.8833,-55.0833,Hotel Stardust
414,Cayenne,GF,75.24,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
419,Road Town,VG,82.49,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
422,Acarau,BR,78.73,clear sky,-2.8856,-40.12,castelo pizzaria
423,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
438,Immokalee,US,76.98,broken clouds,26.4187,-81.4173,Seminole Casino Hotel Immokalee
448,Pingxiang,CN,76.24,broken clouds,27.6167,113.85,Haiyuntian Hotel
466,Calabozo,VE,75.42,broken clouds,8.9242,-67.4293,Hotel Giardini
469,Nueva Gerona,CU,81.64,clear sky,21.8833,-82.8,Casa de la Alegria
480,Tutoia,BR,79.66,clear sky,-2.7619,-42.2744,Pousada Guará's
483,Oranjestad,AW,82.9,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
485,Vieques,PR,80.62,few clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
488,Minab,IR,75.52,mist,27.1467,57.0801,Bam campground
489,Ocos,GT,77.18,light rain,14.5094,-92.1933,Auto Hotel El Soñador
496,Trinidad,BO,76.35,scattered clouds,-14.8333,-64.9,Hotel Piesta
497,Boyolangu,ID,80.15,light rain,-8.1181,111.8935,Yos ega cv
498,Derac,HT,79.25,broken clouds,19.65,-71.8167,Le Marien Hotels & Resorts
501,Soe,ID,85.75,scattered clouds,-9.8607,124.284,Dena Hotel
502,Puri,IN,81.12,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
508,Lethem,GY,80.15,overcast clouds,3.3803,-59.7968,Savannah Inn
513,Takoradi,GH,75.9,light rain,4.8845,-1.7554,Raybow International Hotel
514,Daru,PG,83.55,overcast clouds,-9.0763,143.2092,Daru Lodge
520,Matam,SN,88.02,broken clouds,15.6175,-13.3303,Hotel Beelel Jeeri
526,Dingle,PH,84.56,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
530,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
535,Auki,SB,87.91,scattered clouds,-8.7676,160.7034,Auki Motel
536,Kulhudhuffushi,MV,80.13,overcast clouds,6.6221,73.07,Haajy Guest House 1
537,Ciudad Bolivar,VE,83.93,overcast clouds,8.1222,-63.5497,Hotel Edi
539,Kavaratti,IN,80.37,overcast clouds,10.5669,72.642,Green leaf
540,Ewa Beach,US,84.15,scattered clouds,21.3156,-158.0072,Base Lodging
541,Port Augusta,AU,78.8,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
552,Moindou,NC,77.76,broken clouds,-21.6924,165.677,Equi-lodge de Moindou
559,Wanning,CN,80.85,overcast clouds,18.8003,110.3967,Paradise Hotel
560,Labuhan,ID,84.34,light rain,-6.8844,112.2051,DoubleFAG
563,Ixtapa,MX,83.43,scattered clouds,20.7,-105.2,hotel la terminal
564,Qiongshan,CN,80.58,clear sky,20.0058,110.3542,Sun City Restaurant
574,Pakxan,LA,77.67,broken clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
581,Abu Dhabi,AE,84.22,clear sky,24.4667,54.3667,Beach Rotana
583,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
587,Harper,LR,75.61,broken clouds,4.375,-7.7169,Screensaver
591,Puerto Colombia,CO,82.49,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
592,Lamu,KE,77.22,broken clouds,-2.2717,40.902,Lamu House
594,Ahmadpur East,PK,76.57,clear sky,29.1431,71.2598,Irfan fabrics
605,Todos Santos,MX,75.65,clear sky,23.45,-110.2167,Hotel California Todos Santos
617,Eyl,SO,76.66,light rain,7.9803,49.8164,EYL AQUE SYSTEM
624,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
626,Mulege,MX,75.09,clear sky,26.8833,-111.9833,Casa Granada
627,Praya,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
634,Charters Towers,AU,89.67,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
637,Roebourne,AU,84.81,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
639,Brenham,US,80.38,broken clouds,30.1669,-96.3977,Hampton Inn & Suites Brenham
640,Teknaf,BD,78.73,overcast clouds,20.8624,92.3058,Forestry Guesthouse
642,Manokwari,ID,84.38,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
643,Grants Pass,US,76.51,clear sky,42.439,-123.3284,Shilo Inns Grants Pass
659,Bilma,NE,77.11,clear sky,18.6853,12.9164,Expeditions Ténére voyages
662,Gawler,AU,75.25,overcast clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
669,Hirara,JP,86.27,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
672,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
673,Aden,YE,83.17,clear sky,12.7794,45.0367,Sama Emirate Hotel
676,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
677,Umm Lajj,SA,82.18,overcast clouds,25.0213,37.2685,Moon light Furnished Units
679,Kattivakkam,IN,82.49,scattered clouds,13.2167,80.3167,Euronova Freezer
680,Haikou,CN,80.73,clear sky,20.0458,110.3417,Sun City Restaurant
687,Dwarka,IN,82.56,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
688,Guantanamo,CU,76.57,few clouds,20.1444,-75.2092,Hotel Guantánamo
